# time [pico sec]
400.000000
# dry density [g/cm^3], porosity [%]
1.582639 35.873607
#Xa[1:2]
0.000000e+00 0.000000e+00
#Wd[1:4]
7.0559203312780880e+01 7.0590203302821109e+01 0.0000000000000000e+00 0.0000000000000000e+00 
#np
3194
# irev[1:2] x1   x2    v1   v2
0 0 2.2649307226614425e+01 1.7443746960894831e+01 -5.6832983660623504e-02 1.6142545600154982e-03 1.5261454120568145e+00 1.5261454120568145e+00 3.5707093575940254e+00 3.5707093575940254e+00
0 0 2.3058389891819296e+01 1.8358173671784616e+01 -4.7986871368228746e-02 1.6540272883185440e-02 1.5260605437583790e+00 1.5261786593402558e+00 3.5696697334408873e+00 3.5711166319182288e+00
0 0 2.3348878700703217e+01 1.9317239948367057e+01 -5.1413461140571999e-02 1.5532050580395456e-02 1.5260536993590061e+00 1.5261455869879212e+00 3.5695858905568771e+00 3.5707115004743137e+00
0 0 2.3526748076913780e+01 2.0302754674262786e+01 5.3530665974165711e-02 5.7659123393857432e-03 1.5260528711466852e+00 1.5259883508151830e+00 3.5695757450779575e+00 3.5687853805221130e+00
0 0 2.3676947775168323e+01 2.1290431439823951e+01 8.0966068950986368e-03 1.4637661001725101e-02 1.5261671542216442e+00 1.5257047980851413e+00 3.5709756959101595e+00 3.5653119013517482e+00
0 0 2.3765261260641665e+01 2.2289738196505485e+01 -2.9191413938960235e-02 6.8500946880483554e-03 1.5264282392963522e+00 1.5253121512537300e+00 3.5741739496125930e+00 3.5605020355112180e+00
0 0 2.3641363606854476e+01 2.3288079453650710e+01 3.8580228154896645e-02 1.9636149854979489e-02 1.5263735887143537e+00 1.5248217919307114e+00 3.5735044880341698e+00 3.5544952060433879e+00
0 0 2.3349557689916523e+01 2.4245716687408855e+01 9.8626053359422566e-02 3.8035357370644438e-02 1.5265795768456414e+00 1.5242511267546353e+00 3.5760277127936320e+00 3.5475046417061633e+00
0 0 2.2981753980371224e+01 2.5176133269206940e+01 5.3370602612269127e-03 4.8623937079863948e-04 1.5270185508407859e+00 1.5239066668725008e+00 3.5814034956572933e+00 3.5432850588954303e+00
0 0 2.2642701589379840e+01 2.6116660614880132e+01 -3.7291601313341791e-02 -1.8206120225016331e-02 1.5276123959185699e+00 1.5238003476186122e+00 3.5886758676614043e+00 3.5419826636981222e+00
0 0 2.2295546033542948e+01 2.7054799052675016e+01 -8.9004080220996373e-02 -3.8729045849399811e-02 1.5282878695333380e+00 1.5239379017504737e+00 3.5969478826857317e+00 3.5436676815491142e+00
0 0 2.2006623992969537e+01 2.8012643701485963e+01 -2.6392411809341834e-02 -1.5491040624675195e-02 1.5299651560653551e+00 1.5244147501207501e+00 3.6174883436150806e+00 3.5495090038362731e+00
0 0 2.1649000632548749e+01 2.8947536104236633e+01 7.6175076963697075e-02 1.5494346953518430e-02 1.5313325834373743e+00 1.5252176144693297e+00 3.6342341935176052e+00 3.5593439738293591e+00
0 0 2.1380304144877091e+01 2.9911942677044273e+01 -7.6135654916985734e-02 -2.0515391215629241e-02 1.5323770797649714e+00 1.5261250893033647e+00 3.6470253509008712e+00 3.5704604068581873e+00
0 0 2.1221845673502962e+01 3.0901288658926742e+01 1.2731061295670321e-01 2.0787844539811723e-02 1.5330696131476040e+00 1.5295289437381008e+00 3.6555062840131911e+00 3.6121463808115686e+00
0 0 2.1190550298836513e+01 3.1902543702553860e+01 4.5317873778913671e-02 1.3153359868835542e-02 1.5334020513009554e+00 1.5304699968991233e+00 3.6595774029126731e+00 3.6236707478874677e+00
0 0 2.1251326273847869e+01 3.2901002283416993e+01 -5.5261102908627784e-02 2.2771118155407284e-02 1.5328932949999299e+00 1.5310503028306799e+00 3.6533470488710122e+00 3.6307773161968635e+00
0 0 2.1408940833886998e+01 3.3890659106499307e+01 -5.9103138712440616e-03 1.8146066374160691e-02 1.5323479471759551e+00 1.5312369884091486e+00 3.6466685860935222e+00 3.6330635134311522e+00
0 0 2.1712556167855126e+01 3.4846084844790347e+01 -3.2680707107103593e-02 2.4781179627912715e-02 1.5317930282801238e+00 1.5308305881456918e+00 3.6398729136301688e+00 3.6280866364492730e+00
0 0 2.2165966430461747e+01 3.5741317229963464e+01 2.1790834480941761e-02 -8.4857435990770055e-03 1.5313155899919160e+00 1.5274914437768286e+00 3.6340260876300157e+00 3.5871946581636012e+00
0 0 2.2760066234363197e+01 3.6547886590861474e+01 -7.0758005407990071e-02 5.0879448318688597e-02 1.5309941629834163e+00 1.5261531803049355e+00 3.6300898139023610e+00 3.5708045174891003e+00
0 0 2.3394227314027290e+01 3.7320486058841681e+01 7.5819548323281208e-02 -5.8800535812358855e-02 1.5308905214771340e+00 1.5248174173203060e+00 3.6288205946784458e+00 3.5544416177103848e+00
0 0 2.4047912233482677e+01 3.8077800257097287e+01 -7.6481914991153421e-02 7.6949225950122727e-02 1.5309650788653670e+00 1.5236290046432386e+00 3.6297336426823272e+00 3.5398837374918344e+00
0 0 2.4695376992117751e+01 3.8839809112902905e+01 -6.4502520110820014e-02 6.8867216694717098e-02 1.5312452928547668e+00 1.5229882112595772e+00 3.6331652117024413e+00 3.5321580186556325e+00
0 0 2.5383394747260855e+01 3.9566649858399337e+01 1.7749286295652224e-02 -4.4840325126510941e-04 1.5317059949384237e+00 1.5228610110829695e+00 3.6388070820500444e+00 3.5306926613426248e+00
0 0 2.5959052147123341e+01 4.0390196381878695e+01 -3.6230264161850656e-02 5.0913979948193529e-02 1.5323001912524918e+00 1.5234563814477529e+00 3.6460837553795593e+00 3.5377691287777773e+00
